Puzzle,Number_of_given_elements,Result,Heuristics,Splits,Backtracks,Time
sudoku-0088,24,SAT,Dynamic largest individual sum,99,49,11.9011869430542
sudoku-0089,24,SAT,Random,49,27,12.589520692825317
sudoku-0089,24,SAT,Two-Sided Jeroslow-Wang,19,8,9.715393304824829
sudoku-0089,24,SAT,Dynamic largest individual sum,197,151,15.73404574394226
sudoku-0090,24,SAT,Random,17,1,9.855992078781128
sudoku-0090,24,SAT,Two-Sided Jeroslow-Wang,5,0,9.047439813613892
sudoku-0090,24,SAT,Dynamic largest individual sum,377,320,20.19941544532776
sudoku-0091,24,SAT,Random,20,15,9.85744833946228
sudoku-0091,24,SAT,Two-Sided Jeroslow-Wang,12,2,9.440717458724976
sudoku-0091,24,SAT,Dynamic largest individual sum,192,158,16.104215145111084
sudoku-0092,24,SAT,Random,8,1,10.270480155944824
sudoku-0092,24,SAT,Two-Sided Jeroslow-Wang,5,0,9.573791742324829
sudoku-0092,24,SAT,Dynamic largest individual sum,749,718,42.66265678405762
sudoku-0093,24,SAT,Random,13,0,9.108943462371826
sudoku-0093,24,SAT,Two-Sided Jeroslow-Wang,10,1,9.082443237304688
sudoku-0093,24,SAT,Dynamic largest individual sum,146,107,13.64422607421875
sudoku-0094,24,SAT,Random,11,0,9.226524829864502
sudoku-0094,24,SAT,Two-Sided Jeroslow-Wang,10,4,9.374152660369873
sudoku-0094,24,SAT,Dynamic largest individual sum,81,51,11.125835418701172
sudoku-0095,24,SAT,Random,12,0,9.577764511108398
sudoku-0095,24,SAT,Two-Sided Jeroslow-Wang,6,0,9.067930221557617
sudoku-0095,24,SAT,Dynamic largest individual sum,128,79,12.963731527328491
sudoku-0096,24,SAT,Random,7,0,9.145960569381714
sudoku-0096,24,SAT,Two-Sided Jeroslow-Wang,7,0,9.425695180892944
sudoku-0096,24,SAT,Dynamic largest individual sum,220,178,15.971621990203857
sudoku-0097,24,SAT,Random,18,3,9.133426904678345
sudoku-0097,24,SAT,Two-Sided Jeroslow-Wang,14,2,9.22054386138916
sudoku-0097,24,SAT,Dynamic largest individual sum,524,496,25.327444791793823
sudoku-0098,24,SAT,Random,22,9,11.439088106155396
sudoku-0098,24,SAT,Two-Sided Jeroslow-Wang,6,0,9.396668195724487
sudoku-0098,24,SAT,Dynamic largest individual sum,748,688,47.98649287223816
sudoku-0099,24,SAT,Random,10,0,8.900293350219727
